,markowitz,black_litterman,equal_weight
2019-06-28,1.0000000000000007,1.0,1.0
2019-09-26,1.1736774573603235,0.0643081937403195,0.0650729132339037
2019-12-31,0.594611899009931,0.11471668691708826,0.11430333053338533
2020-04-08,1.104290882653316,0.14360821420711012,0.14488786400490572
2020-07-13,0.5740187314456837,0.1484874329282453,0.1493943378769276
2020-10-16,0.9079325417545172,0.13313356034150614,0.13389256908747332
2021-01-14,0.6551138423633542,0.1216077068641969,0.1221194591368056
2021-04-21,0.5205552108029261,0.11086014540329711,0.11043203027511772
2021-07-23,0.4134589786445325,0.2113448355674118,0.2116988405994098
2021-10-29,0.5808474212716794,0.1440735344127802,0.14336754523123657
2022-01-27,0.7261786484188547,0.087460848243577,0.087280515062046
2022-05-10,1.999999999999997,0.10883106039608122,0.1082825464547142
2022-08-08,5.772360635812391e-15,0.133445691867923,0.133487195326154
2022-11-11,2.2649313443320834e-15,0.1153389711179368,0.11493187046153931
2023-02-16,1.3095423579782635,0.06686958402826802,0.0674109808986099
2023-05-22,1.5327745184731354,0.09299334633311156,0.09285304645439306
2023-08-21,1.4855297781960974,0.06151940626197383,0.062296398685754664
2023-11-24,1.788524562637102,0.07164344076780542,0.07106044022101209
2024-03-01,0.4855720037628045,0.1059131903091293,0.10300064096814601
2024-06-05,0.4106525886854135,0.08365824910265274,0.08670946804248028
2024-09-03,0.3580733128257868,0.09440645593199218,0.09474821585974037
2024-12-10,0.7297975313477189,0.25942651533040306,0.26014836454630025
