Structural Metric,US Market,China Market,Delta
Average Realized Volatility (black_litterman),31.27%,28.92%,-2.35%
Average Turnover Constraints (black_litterman),72.89%,89.15%,16.26%
Stress-Test Volatility Spike Multiple (black_litterman),1.78x (2008),1.67x (2015),-0.12x
Max Crisis Drawdown (black_litterman),-62.96% (2008),-26.92% (2015),36.05%
Crisis Recovery Duration (black_litterman),496 days,255 days,-241 days
Average Realized Volatility (markowitz),31.74%,30.48%,-1.27%
Average Turnover Constraints (markowitz),74.78%,91.00%,16.22%
Stress-Test Volatility Spike Multiple (markowitz),1.73x (2008),1.66x (2015),-0.07x
Max Crisis Drawdown (markowitz),-63.28% (2008),-26.98% (2015),36.30%
Crisis Recovery Duration (markowitz),497 days,259 days,-238 days
